name	dataaddr	tableaddr	sizey	sizex	type	category
CL Delay Maximum (Throttle) (Low Atm. Pressure)			2		2D	Fueling - CL/OL Transition
CL Delay Maximum (Throttle) (High Atm. Pressure)			2		2D	Fueling - CL/OL Transition
Per Injector Primary Fuel Offset Compensation A			14	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation B			14	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation C			14	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation D			14	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation A 			7	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation B 			7	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation C 			7	8	3D	Fueling - Port Injectors
Per Injector Primary Fuel Offset Compensation D 			7	8	3D	Fueling - Port Injectors
Throttle Tip-in Enrichment			18		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (Boost Error)			9		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation (ECT)			16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT) 			16		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Compensation D (ECT) Activation 			1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Applied Counter Threshold			1		2D	Fueling - Tip-in Enrichment
Tip-in Enrichment Disable Throttle Cumulative Threshold			1		2D	Fueling - Tip-in Enrichment
A/F #3 Learning Limits			2		2D	Fueling - AF Correction / Learning
Cranking Fuel Injector Pulse Width A (ECT)			3	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width C (ECT)			2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width D (ECT)			2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width G (ECT)			2	16	3D	Fueling - Cranking
Cranking Fuel Injector Pulse Width H (ECT)			2	16	3D	Fueling - Cranking
Hotstart Low Enrichment Activation Threshold (Intake Air Temperature)			1		2D	Fueling - Hotstart Enrichment
Hotstart Maximum Non-Idle Enrichment Delay			1		2D	Fueling - Hotstart Enrichment
Base Timing			18	15	3D	Ignition Timing - Advance
Base Timing C			18	15	3D	Ignition Timing - Advance
Base Timing D			18	15	3D	Ignition Timing - Advance
Base Timing E			18	15	3D	Ignition Timing - Advance
Base Timing F			18	15	3D	Ignition Timing - Advance
Base Timing G			18	15	3D	Ignition Timing - Advance
